system_indicator|card_number|product_id|customer_number|embossing_name|embossing_date|card_valid_through|previous_valid_through|card_type_plastictipping|authorised_amount|authorised_amount_sign|first_usage_date|ytd_transaction_purch|ytd_transaction_purch_sign|ytd_transaction_cash|ytd_transaction_cash_sign|annual_charge_date|no_of_years_to_waive_annual|activation_flag|life_card_flag|activation_change_date|branch_number|application_type_1|application_type_2|facility_group_account_number|processing_group|credit_limit|credit_limit_sign|temporary_limit|temporary_limit_sign|current_balance|current_balance_sign|balance_carried_forward|balance_carried_forward_sign|amount_due|amount_due_sign|total_payments_since_cutoff|total_payments_since_cutoff_sign|amount_in_arrears_1_period|amount_in_arrears_1_period_sign|amount_in_arrears_2_periods|amount_in_arrears_2_periods_sign|amount_in_arrears_3_periods|amount_in_arrears_3_periods_sign|amount_in_arrears_4_periods|amount_in_arrears_4_periods_sign|amount_in_arrears_5_periods|amount_in_arrears_5_periods_sign|amount_in_arrears_6_periods|amount_in_arrears_6_periods_sign|amount_in_arrears_7_periods|amount_in_arrears_7_periods_sign|amount_in_arrears_8_periods|amount_in_arrears_8_periods_sign|statement_type|statement_indicator|opening_date|manual_limit_adj_flag_1|manual_limit_adj_flag_2|latest_due_date|latest_period_processed|payoff_flag|block_code_date|arrear_level|from_acct_no|debit_type|number_of_times_x29_days_in|number_of_times_3059_days_i|number_of_times_6089_days_i|number_of_times_90119_days|number_of_times_120149_days|number_of_times_150179_days|number_of_times_180209_days|number_of_times_210239_days|ac_into_collection_date|old_card_number_1
neitpnmvnw|xchjtfjilcmykjwu|tbxmta|yuvtfmdwjtmvhlskafodgvxibrcmcl|kqeyncagzhjvkrgcqwfocrmieq|06113940|gfftkc|cfukbl|l|67463182153|q|56842744|24520778806|f|57031220316|s|yqymvx|o|po|i|75856792|zwlm|b|a|mucymrsuqcomusag|fo|49831349392|x|89361235245|h|19225132167|c|70506905215|a|44210117840|e|17605566359|w|31494468220|l|68262754604|j|79819170931|o|05065049451|b|77797142120|q|08946984587|t|05193428951|d|57497072333|j|rhqsmqcydobtszct|i|83581440|91924565|27372989|57505843|66821095|73203133545|80507066|bhh|wejbrpusxd|d|bpw|cga|pui|xuw|bqc|xqr|wcu|ekt|47240496|wdwzyaodrfziawae
jxscmcqwzm|lniixashfizzadjj|fplusp|nhdlqdjjoiyjkvgjqnckpbfzbqnvwd|lnzhznvndofqpaaeotuqqzwphl|70558054|uhgygq|uovufb|h|24708324259|o|75017968|73521586527|t|79314826577|z|mekxtg|r|dz|g|46976224|iovb|f|p|ujdnwbdkuczanpay|ig|74356333546|e|40318292150|j|67428777758|k|91315559439|v|01954322143|z|89866077573|i|89026992099|j|52690034698|b|95259500579|r|23473478182|b|58994962471|v|73695185761|b|95827819696|p|40451557933|c|lqkspyuujaziblkl|w|35052163|81086698|63393789|74142656|23526385|36542482571|51053472|ddt|plukmeonya|s|cnd|sct|kkt|tsy|khl|ebk|gbi|twv|27594115|vdangljdeyhexokp
umfnnajcux|lszerqgpkthxjird|irmzwp|afnhtaofncdhdpgrzawkmtkurzifvv|nbkelwfmznwkhysmwiypergvwd|53614316|dihqoy|rshumq|m|09476277102|s|87802756|26275237571|d|64398801248|x|zgfnyb|h|dn|w|55582236|pblp|w|q|kmmvxxnxtuyvtxsu|nq|25804925003|g|96516590153|c|21099621773|f|12199870539|u|86973425195|f|59304064973|e|69487200257|l|91705013377|e|28126301285|g|94431452058|a|01312324686|b|33001234922|p|17311355486|a|88161051826|i|hdrnzaxvkiazztlf|x|09703981|72301641|11794952|15191692|74595833|84004888782|31512464|yqp|bgjehdtqhu|o|xjl|tmw|goh|qvi|lct|ucg|cio|ggf|16009388|smhpfuzqnijgtwoz
dhrvljsxtq|rcbkzfxnlleabnzz|vomeqa|feaukifufjcrtjaeqaanmvvjvirvre|ciukktmzdqzijdysouzwlvcxni|53323329|lwbego|eexuix|m|57915971433|j|95008257|55940583439|k|88524615729|c|cuifmi|l|ip|v|05747076|oyqu|z|v|dgxwglrctflghcor|sq|20470604881|e|57649849922|s|23053647869|i|64031376383|g|88868238586|r|20316282942|w|76142342481|u|56666344974|c|62194515099|m|16399503439|q|65114361347|r|66410166605|r|36781411268|p|90403083799|w|osfeslpgnmgdwmsk|r|36855546|15395125|17616709|39573876|93246571|82226327760|85970476|uyo|hicrlupnez|t|gnb|fig|ajj|zys|yhn|fxf|zjt|zgc|72296331|jdedhyzxmcmopznu
upfjqtuqzo|mwpcasdkzehufzha|wuvecq|xzwsgfjkzpsowrvwjunzgidebualnh|rcepavkqvkbkrvldwvvaayitqz|02027651|pmwsux|qmpmgt|r|93588778725|s|50204878|15870890963|x|84415380942|x|jpptvt|l|zf|k|42790498|wfeq|l|x|swbndjcwrlgypyfb|do|78772918753|w|87910045702|p|78398273690|h|53642400593|b|38381862151|g|77808355374|g|64871821684|z|86692206257|x|22260808340|x|97861337201|v|68351701076|s|04299997446|x|04219790091|d|59291956187|b|xqdrvptpcoskwdhw|a|40531577|13449038|79018361|62813954|20252013|23952399034|14324932|atm|dqyklixumz|p|lvx|ure|swa|mdo|uaj|pch|gcb|apw|47866833|dlrqukragcnaizwd
wgtbdtbmst|qqiuffvuzlfilzle|banuor|yuutrxfblokwpjzxnvitkofokxaawq|gavcrmsbchqmwkwuxmstyvkkzr|32168021|ouwupn|jmcqaa|q|25335010889|t|34600553|10926463207|f|64321707014|i|immeto|k|mw|g|65596472|vbmz|a|x|yoxktsdjtaerwvjz|pp|02457274803|t|95859133638|n|56955739805|c|74133194678|b|86712920719|s|79456975624|u|87510036429|w|31380416070|t|04337193550|x|40744983753|v|90250718296|n|36868867435|j|82524335240|q|26218615936|g|abisnkxofjoifeuo|f|67558046|37293128|59868673|55816527|15919917|74357831630|11863268|ayl|egxcjcspzj|l|zct|fdy|tkq|fif|zgl|gdk|jqc|gse|48423741|ecjawcgdqnopsczx
aqmidvgknx|wrpipajrggkfpaji|ohnthj|ttbigmjrgkoctwastvghtiizqfbktr|hlgqkurmpoctjvyvncrjdkxlra|24764514|nhvmjb|piwtgt|g|18970485959|l|85508002|55137949234|j|01912391946|m|ksgmeu|f|uj|z|81457519|qumt|y|c|ovhivchobvhhlhrh|qt|47555410669|l|22327218932|q|44392142965|h|65621648562|n|18217375096|u|98765635493|i|65884376037|u|48412755686|a|97072792626|m|95969250211|s|92371911055|b|98006729436|e|21805469013|m|88398998852|f|solnaurluiseqvbl|g|09970551|87936644|26284511|65117230|56777365|72419062785|44351422|uxs|rldietqjvm|l|omo|mya|ybn|axh|mev|dhs|kyz|ohw|79040320|ymcllvyrwjsycfvs
nzbpsmcnss|dxkyrepkijbectvg|mrcvzm|utnltpaijxmqzadgxdpzydpgaltwwn|beiegcmjnpehtpjuneonhkrgmh|75404519|wgolca|zxeatl|y|67988156591|i|15500320|68000587422|w|71666342112|b|tytesc|d|xh|x|62796740|jufs|o|m|masibkebexflhmae|ek|53569533970|h|93153166148|s|51092555085|q|87973408100|c|47270001793|m|43823085779|t|98701257556|u|92640395633|k|50209501652|p|84275452686|h|58783374398|v|80703597872|c|16574323717|w|95919477214|b|wbvkygakjheqhpfw|m|14853895|34173699|42843159|79537973|06988064|39690925904|04511870|edl|njjyyfwcyj|a|lrw|pyw|uik|lqo|nlw|evv|ydm|csl|06448214|plecmumnvfbxixhi
aujwvxudsi|tsoezhetcwnwisws|amcsyh|kyemmzmmykhvyrrtferskaflgjotow|hnsnvvtabohaptakipypnzouao|41375535|ktyubd|fyvqhl|g|67471591960|v|64038869|87120900469|e|04996663664|p|qnsesk|h|hj|s|62120126|vevf|e|q|jsndcjncduachlcr|wk|59243533483|j|96943932481|v|24323528467|y|78068582607|o|07390574706|d|54691342929|b|60623453564|f|39508530968|z|50854456825|q|86476944797|h|87194994118|t|47512247439|r|02618017617|k|64165633462|w|ykefhgficptnjgrv|t|69795023|19641775|86965281|28265603|12305400|73274837147|89008021|skv|xtsysbzsor|v|kfb|ivu|oop|jjx|kms|gne|zes|rzq|50805401|nephbzkbcnsbxvhy
rtgrlouoyv|bxgdagvmrzmhjrzk|ylfpps|jxlpmzwrdzypnsthurqaowscxyodbq|aemevcgptjxjkvaikxesnjxpqn|55852720|xihfgc|mvoyuv|v|37436795097|v|17707216|33755361001|a|63408602902|f|ognbsj|z|zl|y|69550326|fghp|v|t|pwxkpytxudjiyjqy|jl|21079056169|u|38057915766|z|10158547450|n|63961840862|v|13077315116|l|20442152013|o|10465501158|x|49656170184|y|64287050037|k|73270877976|i|64962796249|n|71249403329|e|87029609744|k|28130537470|b|lvzfummwoewlgiug|i|29482023|65252672|34550919|25826663|11292935|39317702594|82655688|rec|asknpvycpz|g|jyr|mdx|gcz|rur|zky|qtj|ttm|qns|63042771|wtolviodxkljaomq
